"date","open","high","low","close","volume"
"01/06/2021","3170","3170","3132","3153.39990234375","39515"
"31/05/2021","3150","3170","3129","3158.949951171875","81654"
"28/05/2021","3190","3197.64990234375","3137","3144.10009765625","90237"
"27/05/2021","3165.39990234375","3218","3162.949951171875","3180.199951171875","89498"
"26/05/2021","3123","3165","3104.75","3158.199951171875","63167"
"25/05/2021","3094","3127","3082.85009765625","3113.949951171875","89880"
"24/05/2021","3080.550048828125","3105","3075","3081.85009765625","34002"
"21/05/2021","3065","3087.89990234375","3055.35009765625","3080.39990234375","25700"
"20/05/2021","3074","3087.550048828125","3053","3060","44081"
"19/05/2021","3080","3118","3066.050048828125","3081.949951171875","63943"
"18/05/2021","3095","3123","3078.699951171875","3089.35009765625","71234"
"17/05/2021","3060","3077","3035.64990234375","3069.800048828125","101499"
"14/05/2021","3100","3100","3040.550048828125","3050.75","78135"
"12/05/2021","3139","3139","3070.5","3088.5","65098"
"11/05/2021","3130","3130","3092.199951171875","3123.199951171875","42943"
"10/05/2021","3140","3164","3126","3145.14990234375","36150"
"07/05/2021","3130","3160","3112.14990234375","3132","90326"
"06/05/2021","3108","3134.25","3074","3111.300048828125","197177"
"05/05/2021","3077.800048828125","3100","3053.699951171875","3096.35009765625","40810"
"04/05/2021","3060","3090","3035.199951171875","3048.949951171875","71115"
"03/05/2021","3034.699951171875","3057","3004.800048828125","3037","110455"
"30/04/2021","3111","3132.699951171875","3021","3038.39990234375","69616"
"29/04/2021","3142","3156.300048828125","3105.39990234375","3113.199951171875","62825"
"28/04/2021","3143","3150.5","3112","3123.800048828125","39238"
"27/04/2021","3103","3135.10009765625","3103","3131.60009765625","43362"
"26/04/2021","3109.800048828125","3151.949951171875","3088.10009765625","3101.10009765625","96633"
"23/04/2021","3105","3119.75","3092","3109.800048828125","67236"
"22/04/2021","3146.14990234375","3149.699951171875","3105.5","3119.10009765625","199595"
"20/04/2021","3215","3220","3127","3144.10009765625","108317"
"19/04/2021","3193.300048828125","3193.300048828125","3135.199951171875","3163.10009765625","56293"
"16/04/2021","3228.949951171875","3246.25","3182","3193.300048828125","106603"
"15/04/2021","3145","3240.550048828125","3086.199951171875","3218.949951171875","673685"
"13/04/2021","3230","3230","3074.550048828125","3105","247729"
"12/04/2021","3330","3343.89990234375","3217.75","3241.449951171875","149202"
"09/04/2021","3350","3358.800048828125","3308.75","3322.199951171875","98999"
"08/04/2021","3267.35009765625","3334.85009765625","3267.35009765625","3316.5","73583"
"07/04/2021","3262","3277.949951171875","3235.10009765625","3270.75","68444"
"06/04/2021","3278","3278","3229.89990234375","3263.85009765625","105514"
"05/04/2021","3171","3262.550048828125","3151.25","3239.300048828125","1005721"
"01/04/2021","3190","3215.699951171875","3146","3165.89990234375","105274"
"31/03/2021","3155","3205","3131.64990234375","3177.60009765625","192113"
"30/03/2021","3080","3188","3059.85009765625","3159.949951171875","216943"
"26/03/2021","3083","3118","3044","3068.14990234375","112808"
"25/03/2021","3120.949951171875","3129.699951171875","3051","3068.050048828125","50991"
"24/03/2021","3125","3151.699951171875","3111.5","3120.949951171875","49838"
"23/03/2021","3139.75","3168.5","3124","3142.050048828125","64888"
"22/03/2021","3060","3139","3018.050048828125","3129.60009765625","136270"
"19/03/2021","3032","3098","3004.449951171875","3063.25","202074"
"18/03/2021","3122","3145","2986.300048828125","3036.800048828125","94103"
"17/03/2021","3108","3156.75","3086","3112.699951171875","263394"
"16/03/2021","3064.85009765625","3139.89990234375","3063","3108.699951171875","294600"
"15/03/2021","3054","3098.89990234375","3043","3066.35009765625","53492"
"12/03/2021","3075","3115.64990234375","3042.050048828125","3056.89990234375","133299"
"10/03/2021","3080.199951171875","3092","3060.10009765625","3071.949951171875","83120"
"09/03/2021","3008.050048828125","3066.89990234375","2993","3049.949951171875","85833"
"08/03/2021","3039","3039","2996","3007.199951171875","39194"
"05/03/2021","3020","3063.449951171875","2997.35009765625","3007","63785"
"04/03/2021","3030","3081.550048828125","3019.89990234375","3047.699951171875","371283"
"03/03/2021","3030","3063.449951171875","2996.5","3058.64990234375","206125"
"02/03/2021","2970","3025.39990234375","2946.14990234375","3010.550048828125","168724"
"01/03/2021","2930","2964.949951171875","2900","2926.199951171875","210795"
"26/02/2021","2968.5","2971.89990234375","2881.35009765625","2896.050048828125","202274"
"25/02/2021","2980","3029.449951171875","2969.10009765625","2992.89990234375","497914"
"24/02/2021","2980.199951171875","3002.25","2701","2943.64990234375","719907"
"23/02/2021","2971.60009765625","3027.89990234375","2970","2980","140264"
"22/02/2021","3090","3090","2945.5","2958.75","233886"
"19/02/2021","3057.550048828125","3085.85009765625","3017.550048828125","3072.10009765625","129152"
"18/02/2021","3073","3098.75","3032","3057.550048828125","175502"
"17/02/2021","3109","3131.949951171875","3047","3073.5","140215"
"16/02/2021","3158.89990234375","3166.25","3100.25","3109.300048828125","136791"
"15/02/2021","3206","3206","3131","3139.949951171875","104489"
"12/02/2021","3197","3245.800048828125","3183.39990234375","3191.14990234375","64320"
"11/02/2021","3223","3223","3186","3205.85009765625","38475"
"10/02/2021","3177","3219.300048828125","3158.949951171875","3210.949951171875","61444"
"09/02/2021","3200","3245.14990234375","3165.050048828125","3175.800048828125","123700"
"08/02/2021","3185.199951171875","3224.949951171875","3155.5","3215.14990234375","132081"
"05/02/2021","3191.10009765625","3200","3129.5","3158.050048828125","69573"
"04/02/2021","3206","3233.949951171875","3177","3187.300048828125","434127"
"03/02/2021","3207","3235.14990234375","3164.60009765625","3199.10009765625","101798"
"02/02/2021","3161","3224.550048828125","3154.5","3203","115905"
"01/02/2021","3104","3165","3045.10009765625","3140.699951171875","158508"
"29/01/2021","3206","3215","3100.5","3112.89990234375","96018"
"28/01/2021","3240","3272.699951171875","3183.949951171875","3199.449951171875","555279"
"27/01/2021","3300","3305.300048828125","3227.14990234375","3261.050048828125","586936"
"25/01/2021","3295","3345.25","3277.699951171875","3290.199951171875","107916"
"22/01/2021","3249.10009765625","3323.89990234375","3249.050048828125","3303.39990234375","316515"
"21/01/2021","3308","3310","3262","3274.800048828125","85349"
"20/01/2021","3265","3327","3265","3308.199951171875","1574806"
"19/01/2021","3229","3279","3229","3265.14990234375","94206"
"18/01/2021","3249","3255.5","3186.60009765625","3220.800048828125","167704"
"15/01/2021","3244.35009765625","3273.85009765625","3210.10009765625","3233.60009765625","162323"
"14/01/2021","3164","3267","3120","3250.14990234375","531550"
"13/01/2021","3179.949951171875","3179.949951171875","3127.10009765625","3158.800048828125","653157"
"12/01/2021","3179.949951171875","3208.10009765625","3150.949951171875","3172.85009765625","132445"
"11/01/2021","3215","3224","3147.449951171875","3175.050048828125","253600"
"08/01/2021","3085.199951171875","3127.550048828125","3061.800048828125","3120.35009765625","210057"
"07/01/2021","3075","3079.800048828125","3001","3032.699951171875","160557"
"06/01/2021","3102.14990234375","3114.449951171875","3037.800048828125","3052.949951171875","118089"
"05/01/2021","3044.10009765625","3112.75","3040","3092.300048828125","188379"
"04/01/2021","2950","3050","2942","3039.25","208783"
"01/01/2021","2879","2939.89990234375","2877.300048828125","2928.199951171875","152353"
"31/12/2020","2902","2906.050048828125","2845","2870.199951171875","834286"
"30/12/2020","2937","2947","2904","2908.85009765625","175469"
"29/12/2020","2928.25","2951.89990234375","2924.199951171875","2930.64990234375","47486"
"28/12/2020","2912.85009765625","2949.89990234375","2902.300048828125","2928.25","80008"
"24/12/2020","2914.85009765625","2921.949951171875","2884","2908.449951171875","63577"
"23/12/2020","2889","2918","2866.050048828125","2907.199951171875","84950"
"22/12/2020","2830","2883.10009765625","2819","2870.800048828125","90096"
"21/12/2020","2865","2888.550048828125","2782.89990234375","2818.75","181011"
"18/12/2020","2861","2898","2847","2862.60009765625","155614"
"17/12/2020","2813.949951171875","2849","2805.550048828125","2837.89990234375","74645"
"16/12/2020","2775","2819.75","2761.199951171875","2813.25","71532"
"15/12/2020","2790","2795","2756","2761.199951171875","108436"
"14/12/2020","2800.10009765625","2806.199951171875","2757","2796.5","57915"
"11/12/2020","2795","2807","2765","2783.449951171875","55137"
"10/12/2020","2820","2824.64990234375","2780.14990234375","2784.14990234375","50596"
"09/12/2020","2818","2840","2793.85009765625","2809.800048828125","108846"
"08/12/2020","2745","2804.85009765625","2733","2796.39990234375","97986"
"07/12/2020","2719","2743","2706.300048828125","2736","44595"
"04/12/2020","2706","2738.050048828125","2700","2726","67094"
"03/12/2020","2768.550048828125","2768.800048828125","2702.300048828125","2708.449951171875","392788"
"02/12/2020","2720","2753.699951171875","2702.25","2749.14990234375","103473"
"01/12/2020","2680","2735","2625.10009765625","2726.949951171875","90136"
"27/11/2020","2700","2717.949951171875","2670","2679.14990234375","110671"
"26/11/2020","2686.64990234375","2729.949951171875","2681","2720.85009765625","60434"
"25/11/2020","2727","2730","2688.39990234375","2700.699951171875","198420"
"24/11/2020","2738","2743","2705","2722.10009765625","103065"
"23/11/2020","2685","2730","2666","2724","129100"
"20/11/2020","2655","2675","2628.25","2659.60009765625","146090"
"19/11/2020","2630","2678.60009765625","2630","2637.050048828125","114908"
"18/11/2020","2665","2665","2608.050048828125","2625.89990234375","139122"
"17/11/2020","2685","2690","2650.35009765625","2666.199951171875","87495"
"13/11/2020","2656","2663.949951171875","2636.449951171875","2657.300048828125","436036"
"12/11/2020","2687","2711.64990234375","2662.550048828125","2670.699951171875","75051"
"11/11/2020","2645.300048828125","2691.85009765625","2644.25","2688.550048828125","179045"
"10/11/2020","2725","2725","2640","2649.949951171875","182867"
"09/11/2020","2738.25","2743.800048828125","2695.050048828125","2725.89990234375","124207"
"06/11/2020","2695","2713.35009765625","2681.699951171875","2708.25","86947"
"05/11/2020","2681","2709.75","2667.39990234375","2687.25","114531"
"04/11/2020","2625","2720.449951171875","2615","2653.25","129239"
"03/11/2020","2604.699951171875","2664.75","2602","2632.64990234375","66138"
"02/11/2020","2665","2665","2600","2603.85009765625","106105"
"30/10/2020","2639","2673.949951171875","2621.64990234375","2664.85009765625","77960"
"29/10/2020","2605","2654.449951171875","2601","2633.699951171875","86748"
"28/10/2020","2653","2656.35009765625","2607.199951171875","2621.75","471923"
"27/10/2020","2696.85009765625","2717","2625","2631.449951171875","86794"
